REG Nº,LOCAL (RELATÓRIO),ESTADO,CIDADE,LATITUDE CENTRAL,LONGITUDE CENTRAL,DATA,HORA,COR RELATÓRIO,COR TAXONOMIA,FORMA (RELATÓRIO),FORMA (TAXONOMIA),TAMANHO APARENTE,MOVIMENTO (RELATÓRIO),MOVIMENTO (TAXONOMIA),SENTIDO,VELOCIDADE,ALTITUDE,DISTÂNCIA,OBSERVADOR(ES),Gênero,NOTA,ANEXO,FONTE,Fonte Filmagem,Teria filmagem?
101,Município de Colares/Pa,PA,Colares,-1.3088 S,-48.5135 W,28 mar. 78,20:30,Amarela avermelhada,Amarelo,Indefinida,Indefinida,...,"Trajetória reta, curva",Média,Noroeste/Sudeste,Média,2.000m,800m,Padre ALFREDO DE LA Ó,,Ao chegar às proximidades do Farol efetuou curva acentuada para o Norte.,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
102,Campinas da Vigia - Município de Vigia/Pa,PA,Vigia,-0.8577 S,-48.1388 W,18 abr. 78,20:20,Indefinida,Incolor,Circular,Circular,"3,00m","Trajetória reta, curva",Inicialmente grande,Sudeste/Nordeste,Inicialmente grande,100m,100m,Padre ALFREDO DE LA Ó,,"Deslocava-se em baixa altitude e em grande velocidade, enquanto rodava, diminuindo como se fosse pousar.",,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
103,Praia do Caracarí - Litoral de Bragança/Pa,PA,Bragança,-0.7500 S,-46.6175 W,29 abr. 78,19:00,"Amarela avermelhada, brilho intenso",Amarelo,Indefinida,Indefinida,"0,50m","Trajetória reta, curva",Super sônica,Sudeste/Oeste,Super sônica,...,1.000m,Sr JOSÉ DE RIBAMAR VIANA DA COSTA,,"O OVNI dirigiu três focos de luz azul muito intenso, refletindo um grande clarão na superfície do mar.",,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
104,Praia do Caracarí - Litoral de Bragança/Pa,PA,Bragança,-0.7500 S,-46.6175 W,29 abr. 78,19:30,Amarela clara,Amarelo,Indefinida,Indefinida,...,"Em formação (cunha), reta",Grande,Sul/Norte,Grande,...,...,Sr JOSÉ DE RIBAMAR VIANA DA COSTA,,,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
105,Município de BENEVIDES/Pa,PA,Benevides,...,...,09 jun. 78,19:00,Amarela avermelhada (intensa),Amarelo,Circular (como uma bacia emborcada),Circular,"0,50m",Trajetória reta,Baixa,Nordeste/Sudoeste,Baixa (~500Km/h),200m,500m,Sr ANTONIO FERREIRA FAVACHO,,São constantes as observações de OVNI no local. Ausência absoluta de ruído.,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
106,Município de BENEVIDES/Pa,PA,Benevides,...,...,16 jun. 78,12:30,"Prateada (metálica), proa de cor preta",Prateado,"Circular, com saliência (bico)",Circular,...,Trajetória reta,Grande,Noroeste/Sul,Grande,10.000m,...,Sr JOSÉ DE RIBAMAR VIANA DA COSTA,,Deixou um pequeno rastro (logo desfeito) de fumaça. Não percebeu ruído. Afirma não ser avião.,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
107,Baía do Sol - Mosqueiro/Pa,PA,Mosqueiro,...,...,20 jun. 78,04:25,"Amarela avermelhada, fosca. Variável quanto à intensidade.",Amarelo,Ovalada,Oval,20 cm,Trajetória ligeiramente curva (SE),Média (~300Km/h),400m,1.500m,1S Q AT MT FLAVIO e Sr UBIRATAN PINON FRIAS,,"O OVNI movimentava-se em zig-zag, como se fosse sob ação de impulsos de curto período de tempo, com aumento brusco de intensidade luminosa.",Cópia de uma fotografia,,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
108,Município de BENEVIDES/Pa,PA,Benevides,...,...,30 jun. 78,20:35,"Amarela clara, fosca",Amarelo,Indefinida,Indefinida,5 cm,"Trajetória ligeiramente curva, no sentido Leste/Oeste",Baixa (~200Km/h),800m,1.500m,1S Q AT MT FLAVIO e os Civis UBIRATAN PINON FRIAS e ANTONIO FERREIRA FAVACHO,,"O OVNI ao chegar próximo à Rodovia, efetuou curva acentuada, seguindo para rumo Sudeste. Desapareceu por interposição de árvores.",,,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
109,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],04 jul. 78,às 05:15 horas,"Amarela avermelhada, emitindo lampejos azulados",Amarela avermelhada,Indefinida,Indefinida,15 cm,Trajetória curva (esquerda),Curvo,Leste/Sudeste,Baixa (-200Km/h),600m (estimada),1.000m (estimada),Sr. ANTONIO FERREIRA FAVACHO,Masculino,Não produziu ruído. Efetuou curva para a esquerda em subida aumentou a velocidade e desapareceu no alto.,-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
110,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],05 jul. 78,às 05:30 horas,Amarela avermelhada,Amarela avermelhada,Arrendondada (circular),Circular,25 cm,Trajetória reta,Reto,Leste/Sudeste,Média (comparada a um avião),300m (estimada),200m (estimada),Sr. ANTONIO FERREIRA FAVACHO,Masculino,"O OVNI deixava um pequeno rastro luminoso (faíscas), sem produzir ruído.",-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
111,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],11 jul. 78,às 21:40 horas,"Amarela avermelhada, fosca",Amarela avermelhada,Indefinida,Indefinida,6 cm,Trajetória curva descendente,Curvo,Leste/Sul,Média (-500 Km/h),300m (estimada),1.000m (estimada),1S Q AT MT FLAVIO e Sr ANTONIO FERREIRA FAVACHO,Masculino,O OVNI desapareceu por trás de árvores em um ângulo muito baixo. Não se observou ruído.,-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
112,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],11 jul. 78,às 22:24 horas,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,8 cm,Trajetória curva,Curvo,Leste/Sudeste,Média (-500Km/h),200m (estimada),800m (estimada),1S Q AT MT FLAVIO e Sr ANTONIO FERREIRA FAVACHO,Masculino,O OVNI desapareceu por interposição de árvores.,-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
113,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],11 jul. 78,às 23:25 horas,"Amarela clara, fosca",Amarela clara,Indefinida,Indefinida,5 cm,Trajetória curva,Curvo,Nordeste/Sudeste,Grande (acima de 800 Km/h),400m (estimada),800m (estimada),1S Q AT MT FLAVIO e Sr ANTONIO FERREIRA FAVACHO,Masculino,"O OVNI desceu de 5.000m (ângulo vertical aproximadamente 30º), em curva descendente. Não se ouviu ruído ou deslocamento de ar. A passagem durou aproximadamente 60 segundos.",-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
114,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],14 jul. 78,às 02:10 horas,"Amarela, fosca",Amarela fosca,Indefinida,Indefinida,20 cm,Trajetória reta,Reto,Leste/Sudeste,Média (-500 Km/h),300m (estimada),500m (estimada),1S Q AT MT FLAVIO e os Civis UBIRATAN PINON FRIAS e ANTONIO FERREIRA FAVACHO,Masculino,Ausência de ruído. Desapareceu por interposição de árvores.,-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
115,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],19 jul. 78,às 23:40 horas,"Branca azulada, emitindo lampejos azulados muito intensos",Branca azulada,Indefinida,Indefinida,1 cm,Zig-zag (mudança brusca de proa),Zig-zag,Noroeste/SE,Supersônica,11.000m (estimada),-,1S Q AT MT FLAVIO e Sr ANTONIO FERREIRA FAVACHO,Masculino,"Após cruzar o centro da abóbada, efetuou curva para a direita (Leste), prosseguindo em reta até desaparecer devido à distância. Os lampejos eram de tonalidades azul-violeta.",-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
116,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],25 jul. 78,às 19:10 horas,"Amarela avermelhada, emitindo lampejos azulados",Amarela avermelhada,Indefinida,Indefinida,-,Trajetória reta,Reto,Noroeste/Sudeste,Grande (acima de 1000Km/h),11.000m (estimada),"11.000m (estimada), na vertical",1S Q AT MT FLAVIO e os Civis UBIRATAN PINON FRIAS e ANTONIO FERREIRA FAVACHO,Masculino,-,-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
117,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],25 jul. 78,às 19:11 horas,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,2 cm,Zig-zag (manobra brusca),Zig-zag,Leste/Oeste,Supersônica,11.000m (estimada),"11.000m (estimada), na vertical",1S Q AT MT FLAVIO e os Civis UBIRATAN PINON FRIAS e ANTONIO FERREIRA FAVACHO,Masculino,"O OVNI ao atingir 2/3 da abóbada, procedeu curva fechada para a direita.",-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
118,Município de Benevides/Pa,Pará,Benevides,[Latitude],[Longitude],25 jul. 78,às 19:15 horas,Amarela avermelhada,Amarela avermelhada,Indefinida,Indefinida,2 cm,Trajetória curva,Curvo,Oeste/Leste,Supersônica,11.000m (estimada),10.000m (estimada),1S Q AT MT FLAVIO e os Civis UBIRATAN PINON FRIAS e ANTONIO FERREIRA FAVACHO,Masculino,"O OVNI ao atingir 2/3 da abóbada, efetuou curva à direita mantendo uma trajetória curva, emitindo lampejos intermitentes de cor azul violeta.",-,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
119,Município de BENEVIDES/Pa,PA,Benevides,,,25 jul. 78,19:25,"Amarela avermelhada, clara",Indefinida,5 cm,"Trajetória ligeiramente curva, Sentido Oeste/Leste",Baixa (~300Km/h),6.000m,5.000m,-,"O OVNI após cruzar o centro da abóbada aumentou a velocidade (aceleração rápida), emitindo lampejos azulados. Desviou para o rumo Norte (NNE)",,,1S Q AT MT FLAVIO e os Civis UBIRATAN PINON FRIAS e ANTONIO FERREIRA FAVACHO,,,,"MINISTÉRIO DA AERONÁUTICA - 1º COMANDO AÉREO REGIONAL - 2ª SEÇÃO DO ESTADO MAIOR REGISTROS DE OBSERVAÇÕES DE OVNI
(Nºs 001 a 130)",,
